SIDE,MODULE/FEATURE,,,,,ASSIGNED,RESOLUTION,COMMENTS,OBSERVATION,TICKET,PRIORITY
KC,Forgot Password,,,,,,,,,,
,Login Now,,,,,,,,,,
,Login with SSO,,,,,,Verify SSO flow with Keycloak,IONF-362 IONF-1074,high
,Sign Up with SSO,,,,,,,,,,
,,,,,,,,,,,
ADMIN,Dashboard,,,,,,,,,,
,Templates,,,,,,,,,,
,Companies,List,Company,Information,,,,,,,
,,,,Connectors,Migrate,,,,,,
,,,,,Download Configuration,,,,,,
,,,,Flows,Migrate,,,,,,
,Connectors,List,,,,,,,,,
,Boards,List,,,,,,,,,
,Apps,List,Legacy,Edit,,,,,,,
,,,Applications,Edit,,,,,,,
,,,Grapps,Create,,,,,,,
,,,,Edit,Edit and verify in Gateway,,,,,,
,,,,Configure Flow,,,,,,,
,,,,Grapp Wizzard,With IA and without IA,,,,,,
,,,Custom,Edit,,,,,,,
,,Add App,Legacy,,,,,,,,
,,,Applications,,,,,,,,
,,,Grapps,Simple Grapp,,,,,,,
,,,Custom,,,,,,,,
,Developers,List,Legacy,Enable,,,,,,,
,,,,Disable,,,,,,,
,,,,SetUp,,,,,,,
,,,Applications,Enable,,,,,,,
,,,,Disable,,,,,,,
,,,,SetUp,,,,,,,
,,,Custom,Enable,,,,,,,
,,,,Disable,,,,,,,
,,,,SetUp,,,,,,,
,,,Grapp,Enable,,,,,,,
,,,,Disable,,,,,,,
,,,,SetUp,,,,,,,
,Settings,Categories,Add,,,,,,,,
,,,Edit,,,,,,,,
,,,Delete,,,,,,,,
,,,,,,,,,,,
TENANT,Dashboard,,,,,,,,,,
,Boards,List,Create Board,All Tools,Scheduler,,,Verificar en modo Test y modo Produccion,,IONF-680,
,,,,,HTTP Request,,,Verificar en modo Test y modo Produccion,,IONF-379,
,,,,,Webhook,,,Verificar en modo Test y modo Produccion,,IONF-449 IONF-786,
,,,,,Webhook Response,,,Verificar en modo Test y modo Produccion,,IONF-449,
,,,,,Simple Desicion,,,Verificar en modo Test y modo Produccion,,IONF-379,
,,,,,Form,,,Verificar en modo Test y modo Produccion,,IONF-901,
,,,,,Mapper,,,Verificar en modo Test y modo Produccion,,IONF-320 IONF-376,
,,,,,Aggregate,,,Verificar en modo Test y modo Produccion,,IONF-935,
,,,,,Iterator,,,Verificar en modo Test y modo Produccion,,IONF-404,
,,,,,Timer,,,Verificar en modo Test y modo Produccion,,IONF-266,
,,,,,Multiple Desicion,,,Verificar en modo Test y modo Produccion,,IONF-227,
,,,,,Code,,,Verificar en modo Test y modo Produccion,,IONF-939,
,,,,,Call Component-Flow,,,Verificar en modo Test y modo Produccion,,IONF-328,
,,,,,On Call Component-Flow,,,Verificar en modo Test y modo Produccion,,IONF-328,
,,,,,Agent,,,Verificar en modo Test y modo Produccion,,,
,,,,Storage,Save,,,Verificar en modo Test y modo Produccion,,IONF-162 IONF-552,
,,,,,Update,,,Verificar en modo Test y modo Produccion,,IONF-162,
,,,,,Get,,,Verificar en modo Test y modo Produccion,,IONF-163,
,,,,,Delete,,,Verificar en modo Test y modo Produccion,,,
,,,,,Check,,,Verificar en modo Test y modo Produccion,,IONF-552,
,,,,,Count,,,Verificar en modo Test y modo Produccion,,IONF-552,
,,,,,Delete All,,,Verificar en modo Test y modo Produccion,,IONF-552,
,,,,,Search,,,Verificar en modo Test y modo Produccion,,IONF-552,
,,,,ION PDF,Edit Template on Canvas,,,Verificar en modo Test y modo Produccion,,IONF-820,
,,,,,Add Template on Canvas,,,Verificar en modo Test y modo Produccion,,IONF-820,
,,,,,Map Function,,,Verificar en modo Test y modo Produccion,,IONF-820,
,,,,,Build a PDF,,,Verificar en modo Test y modo Produccion,,IONF-820,
,,,,Tenant App,Use a Tenant Node,,,Verificar en modo Test y modo Produccion,,,
,,,,,Add a node with Ionmind,,,Verificar en modo Test y modo Produccion,,,
,,,,Preview,,,,,,,
,,,,Commit,Create Separate Draft,,,,,IONF-419,
,,,,,Create From Existing,,,,,IONF-419,
,,,,,Create From saved State,,,,,IONF-419,
,,,,,Change Separate Draft,,,,,IONF-419,
,,,,,Save,,,,,IONF-419,
,,,,,Discard Changes,,,,,IONF-482,
,,,,,History,,,,,IONF-419,
,,,,Export,,,,,,,
,,,,Import,,,,,IMPROVEMENT IONF-530,,
,,,,Flow Pilot,Chat Sessions,,,,,,
,,,,,IA Tools,,,,,,
,,,Edit,,,,,,,IONF-899,
,,,Delete,,,,,,,IONF-281,
,,,Enable/Disable,,,,,,,,
,,,Description,Add Description,,,,,,,
,,,Preview,,,,,,,,
,Execution History,Data,,,,,,,,,IONF-518
,,Delete,,,,,,,,,
,Webhooks,Active/Inactive,,,,,,,,,
,,Delete,,,,,,,,,
,Connections,Check Connection,,,,,,,,,
,,Reauthrize,,,,,,,,,IONF-165 IONF-554
,,Delete,,,,,,,,,
,Data Store,Data Store,Create,,,,,,,,IONF-159
,,,Edit,,,,,,,,
,,,View,,,,,,,,IONF-163
,,Data Structure,Create,,,,,,,,
,,,Edit,,,,,,,,
,PDF Templates,New Template,,,,,,,,,
,,Import JSON,,,,,,,,,
,,Export JSON,,,,,,,,,
,,Load Base PDF,,,,,,,,,
,,Page Size,,,,,,,,,
,,Margins,,,,,,,,,
,,Text,,,,,,,,,
,,Multi Variable Text,,,,,,,,,
,,Image,,,,,,,,,
,,SVG,,,,,,,,,
,,Signature,,,,,,,,,
,,Table,,,,,,,,,
,,Code 128,,,,,,,,,
,,Shapes,,,,,,,,,
,,Dates,,,,,,,,,
,,Form Controls,,,,,,,,,
,Credentials,Edit Key,,,,,,,,,
,,Select a Provider,,,,,,,,,
,,Select a Model,,,,,,,,,
,,Delete Key,,,,,,,,,
,Connections,List,Base,Edit,,,,,,,IONF-146
,,,Webhooks,Add,,,,,,,IONF-695
,,,,Edit,,,,,,,
,,,,Delete,,,,,,,
,,,Nodes,Add,,,,,,,IONF-116 IONF-327
,,,,Add Node with Ionmind,,,,,,,
,,,,Versioning a Node,,,,,,,
,,,,Edit,,,,,,,IONF-146
,,,,Delete,,,,,,,
,,,Auth List,Add,,,,,,,IONF-141 IONF-142
,,,,Edit,,,,,,,
,,,,Delete,,,,,,,
,,Create,Manual Connector,,,,,,,,IONF-116
,,,Connector via Ionmind,Verify Notifications,,,,,,,
,,,Endpoints via Ionmind,Verify Notifications,,,,,,,
,,Draft Connector,,,,,,,,,
,Accounts,Add Account,,,,,,,,,
,,Edit Account,,,,,,,,,
,,Delete Account,,,,,,,,,
,Developer Apps,Add Developer Apps,,,,,,,,,IONF-380
,,Configure App,,,,,,,,,
,,Edit App,,,,,,,,,
,,Delete App,,,,,,,,,
,Catalog,Add Catalog Item,Creater Grapp,,,,,,,,IONF-103
,,Edit Catalog,,,,,,,,,
,,Delete Catalog,,,,,,,,,
,Notifications,Open,,,,,,,,,
,,Mark As Read,,,,,,,,,
,,Delete,,,,,,,,,
,Settings,Edit Comapny Info,,,,,,,,,IONF-506
,,Appearance,,,,,,,,,IONF-485
,Teams,Invite Member,,,,,,,,,IONF-655
,,Edit Invitation,,,,,,,,,
,,Delete Invitation,,,,,,,,,
,,Edit Permissions,Check Every Permissions,,,,,,,IONF-763 IONF-764,,
,Account,Update Personal Information,,,,,,,,,
,,Change Email,Verify if it affects Keycloak,,,,,,,IONF-362,,
,Laanguaje,Change Languaje,Verify Misings Views with i18n,,,,,,,IONF-657,,
,,,,,,,,,,,
ADMIN GATEWAY,Apps,Edit,,,,,,,,,
,,Delete,,,,,,,,,IONF-281
,,New App,,,,,,,,,IONF-116 IONF-168
,,App,Settings,Copy OAuth Key,,,,,,,
,,,,Copy App Url,,,,,,,
,,,,Set Image,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,Services,Filter by Slug,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Filter by Title,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Filter by Description,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Filter by Categories,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Filter by Type,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Enable/in bulk,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Disable/in bulk,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Enable,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Disable,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Edit,Set Image,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Title,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Details,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Description,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Features,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Groups,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Set Category,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Enable Badge,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Custom Credentials,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Copy Cart,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Copy Install,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,,Copy Callback,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Custom Integrations,Create,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,Integrations,List,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,,Claim,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,,,Go Back,,,,Skipped,Verificar cuando se fusione la 1.4.x a DEVELOPMENT,,,
,Customer,Login,Configured Channels,Grapp Instalation,,,,,,,IONF-103 IONF-128
,,,,Grapp Execution History,,,,,,,
,,,,Grapp Check Updates,,,,,,,IONF-548
,,,,Grapp Edit a Flow Configuration,,,,,,,
,,,,Grapp Connections,,,,,,,IONF-142
,,,,Grapp Schedule,,,,,,,IONF-911 IONF-680
,,,,Grapp Cron,,,,,,,IONF-911
,,,Available Market Place,Grapp Whitout Global Apps,,,,,,,IONF-997,
,,,,Grapp Whit Global Apps,,,,,,,IONF-997,
,,,,Add a Connection,,,,,,,IONF-116 IONF-141
,,,,Check a Connection,,,,,,,
,,,,Reauthorize,,,,,,,IONF-165 IONF-493
,,,,Flow/Actions Configuration,,,,,,,IONF-551 IONF-553
,,,Boards,Check all nodes functionality,,,,,Verificar en modo Test y modo Produccion,,IONF-379 IONF-406,
